temperature,pressure,P,merit,mode,role
222.7078105,8443.724399,0,-4.500548685,-1,dead
223.9143679,9385.996319,0,-4.423071529,-1,dead
219.6846538,5702.010621,0,-4.40753877,-1,dead
223.3268031,8756.315893,0,-4.390333532,-1,dead
296.3818655,5250.767185,0,-4.332477073,-1,dead
222.7642371,8058.548109,0,-4.317500068,-1,dead
222.3197382,7443.969681,0,-4.214756814,-1,dead
220.0972329,5629.809933,0,-4.204940911,-1,dead
220.5243793,5879.099796,0,-4.158208439,-1,dead
297.2433242,5391.013423,0,-4.157176468,-1,dead
222.0084644,6833.375689,0,-4.055487645,-1,dead
221.5727986,6393.76627,0,-4.022241181,-1,dead
295.0979103,5319.246689,0,-4.003198528,-1,dead
299.3892068,5678.132672,0,-3.950040339,-1,dead
291.4426552,5082.15641,0,-3.940795109,-1,dead
225.1490003,9292.407516,0,-3.937219931,-1,dead
225.0358329,9125.375321,0,-3.915016107,-1,dead
224.5465839,8588.802919,0,-3.882472174,-1,dead
225.1591196,9098.293127,0,-3.858405704,-1,dead
224.3384547,8301.190382,0,-3.840453631,-1,dead
226.331997,10136.47574,0,-3.816327211,-1,dead
292.8043103,5252.319269,0,-3.787146992,-1,dead
222.6746073,6722.818451,0,-3.780432769,-1,dead
222.1592124,6200.561256,0,-3.731900115,-1,dead
226.1475966,9403.83345,0,-3.632665596,-1,dead
223.7583269,7254.773253,0,-3.628035952,-1,dead
226.941513,10059.73507,0,-3.588405472,-1,dead
289.0242899,5095.461904,0,-3.576307651,-1,dead
291.8148396,5325.39195,0,-3.528751349,-1,dead
223.2658764,6609.57881,0,-3.527246578,-1,dead
287.6986709,5027.75166,0,-3.516349237,-1,dead
222.8053072,6032.957043,0,-3.429612828,-1,dead
228.3169857,10912.08571,0,-3.396552199,-1,dead
296.6406725,5795.967475,0,-3.375391828,-1,dead
223.0709931,6008.472431,0,-3.33260008,-1,dead
298.535185,6000.705875,0,-3.305763694,-1,dead
299.8440244,6130.4417,0,-3.282597043,-1,dead
228.1102496,10305.59167,0,-3.279393371,-1,dead
286.0626471,5046.650892,0,-3.247295269,-1,dead
228.9413624,10958.21131,0,-3.211517995,-1,dead
287.3984299,5167.619876,0,-3.204585345,-1,dead
227.1929845,9107.637995,0,-3.187642789,-1,dead
296.3058842,5911.825357,0,-3.150750855,-1,dead
228.895096,10457.06568,0,-3.078899221,-1,dead
294.5661505,5844.509132,0,-3.029309123,-1,dead
224.1915483,6104.233026,0,-3.014841797,-1,dead
229.1607209,10396.46426,0,-2.975550514,-1,dead
287.3494606,5372.089525,0,-2.877986359,-1,dead
224.2319186,5415.007669,0,-2.737716407,-1,dead
224.9069815,5798.136527,0,-2.685734727,-1,dead
226.9359747,7381.744228,0,-2.665828156,-1,dead
230.2500396,10338.07321,0,-2.623783787,-1,dead
229.5071404,9457.935421,0,-2.590514893,-1,dead
227.6296461,7546.671787,0,-2.521457653,-1,dead
295.6603407,6326.714965,0,-2.457164645,-1,dead
279.003145,5026.389135,0,-2.419516878,-1,dead
299.862043,6778.540451,0,-2.41085048,-1,dead
287.3442155,5659.519188,0,-2.402018043,-1,dead
228.6196788,7943.479016,0,-2.376046337,-1,dead
231.5152132,10746.29766,0,-2.371252826,-1,dead
225.5964881,5354.936192,0,-2.344255075,-1,dead
281.9061852,5304.326487,0,-2.344148504,-1,dead
230.0217519,8971.290397,0,-2.298095138,-1,dead
279.8027462,5194.562107,0,-2.266324398,-1,dead
279.7720405,5219.985839,0,-2.228253703,-1,dead
288.9335071,5936.598413,0,-2.206878592,-1,dead
286.2428372,5707.605545,0,-2.200503633,-1,dead
294.3257858,6441.724222,0,-2.19950739,-1,dead
226.3204191,5440.024697,0,-2.182629697,-1,dead
226.1391105,5222.956874,0,-2.169265436,-1,dead
227.308792,6105.548116,0,-2.136901775,-1,dead
232.1755904,10484.34463,0,-2.113607265,-1,dead
289.4464298,6100.723455,0,-2.080665888,-1,dead
297.1699926,6867.815989,0,-2.077616854,-1,dead
226.9492472,5596.469452,0,-2.069249484,-1,dead
228.6254613,6976.81153,0,-2.069173485,-1,dead
284.1621694,5654.988468,0,-2.056788549,-1,dead
298.9229581,7093.849006,0,-2.046975157,-1,dead
293.6807457,6560.848947,0,-2.03176798,-1,dead
296.5654265,6882.539868,0,-2.013338023,-1,dead
232.7261757,10669.8218,0,-2.010443533,-1,dead
286.6090402,5916.746483,0,-2.001052817,-1,dead
228.6785087,6687.863951,0,-1.969828063,-1,dead
228.2472948,6247.971901,0,-1.942453509,-1,dead
292.9589954,6626.660476,0,-1.911239751,-1,dead
227.8801096,5814.639063,0,-1.908427384,-1,dead
280.316743,5464.884424,0,-1.903301216,-1,dead
227.7721734,5546.854979,0,-1.855344863,-1,dead
294.6841514,6896.933566,0,-1.842765426,-1,dead
233.5541143,10813.87411,0,-1.829300678,-1,dead
228.5999199,6138.24426,0,-1.824453024,-1,dead
292.3174183,6704.150036,0,-1.79553715,-1,dead
295.7605313,7084.969071,0,-1.790288865,-1,dead
233.1568294,10187.88398,0,-1.777716355,-1,dead
284.324122,5938.350311,0,-1.776744688,-1,dead
287.9750861,6384.524734,0,-1.690173571,-1,dead
291.9743788,6826.707525,0,-1.673101987,-1,dead
272.8268052,5064.7991,0,-1.670830583,-1,dead
299.5983435,7689.063793,0,-1.670486524,-1,dead
277.7060728,5488.006468,0,-1.634535895,-1,dead
284.4901234,6135.551849,0,-1.610772903,-1,dead
283.8123428,6070.792994,0,-1.609184014,-1,dead
231.3816049,7771.54869,0,-1.604198123,-1,dead
288.5418216,6566.006398,0,-1.593989335,-1,dead
287.0603894,6428.915069,0,-1.58141634,-1,dead
230.3353864,6676.898197,0,-1.565558745,-1,dead
275.7046968,5410.577475,0,-1.541981613,-1,dead
234.8088673,10998.01085,0,-1.541215325,-1,dead
232.0670809,8153.307047,0,-1.539861332,-1,dead
232.604967,8661.58038,0,-1.532966409,-1,dead
280.5713899,5879.974811,0,-1.508826732,-1,dead
275.0706154,5407.945686,0,-1.488652757,-1,dead
232.4605592,8338.837265,0,-1.486718668,-1,dead
229.3968114,5460.003217,0,-1.475536251,-1,dead
230.6800837,6564.767456,0,-1.456248816,-1,dead
230.9972208,6815.991197,0,-1.447315091,-1,dead
284.2555522,6321.447774,0,-1.442027463,-1,dead
282.8560899,6180.455505,0,-1.440792166,-1,dead
233.2033199,8818.921652,0,-1.429526692,-1,dead
283.3224499,6276.980272,0,-1.402875051,-1,dead
229.4189651,5051.375648,0,-1.398103868,-1,dead
231.4297964,6864.212674,0,-1.362397283,-1,dead
229.7060046,5156.294068,0,-1.356014192,-1,dead
233.2177127,8493.44674,0,-1.349518455,-1,dead
230.7505609,6146.069411,0,-1.342460171,-1,dead
230.8066707,6099.557284,0,-1.319081916,-1,dead
295.1020945,7689.207035,0,-1.314865881,-1,dead
292.0605099,7340.732271,0,-1.307350904,-1,dead
234.1611448,9120.458641,0,-1.273702059,-1,dead
231.5296395,6528.836084,0,-1.263070133,-1,dead
283.2042947,6463.312632,0,-1.251298071,-1,dead
295.629772,7871.496944,0,-1.239257142,-1,dead
234.5084762,9311.635602,0,-1.237862567,-1,dead
297.5490263,8150.786325,0,-1.215682371,-1,dead
234.146157,8646.602477,0,-1.170509892,-1,dead
296.1642488,8098.65608,0,-1.14259885,-1,dead
236.0198128,10460.38924,0,-1.135367891,-1,dead
281.4111272,6432.339291,0,-1.134436684,-1,dead
288.6847583,7227.543519,0,-1.127198417,-1,dead
288.0317684,7173.042985,0,-1.112847634,-1,dead
288.2085104,7205.164403,0,-1.106352533,-1,dead
294.597248,7985.06917,0,-1.093695554,-1,dead
274.0617389,5777.954836,0,-1.084900495,-1,dead
231.9577382,6043.250266,0,-1.076653135,-1,dead
297.5292496,8423.093994,0,-1.058172394,-1,dead
286.6759267,7104.87775,0,-1.058053375,-1,dead
282.0079963,6603.000449,0,-1.056159774,-1,dead
288.32339,7316.677569,0,-1.043542226,-1,dead
233.1430835,6931.195628,0,-1.016454168,-1,dead
278.3837961,6283.436087,0,-1.015617909,-1,dead
236.1388308,9968.843166,0,-1.004651286,-1,dead
299.9474139,8855.16345,0,-1.004367185,-1,dead
284.9308825,6995.857088,0,-1.000637893,-1,dead
232.7663737,6306.661537,0,-0.9694161825,-1,dead
293.7967428,8132.520794,0,-0.9523975492,-1,dead
270.9629996,5656.139676,0,-0.9500738795,-1,dead
234.9841426,8441.351618,0,-0.9454530164,-1,dead
287.7113219,7404.329764,0,-0.9444326475,-1,dead
298.5630435,8818.759733,0,-0.927030728,-1,dead
234.3100957,7612.705934,0,-0.9161312242,-1,dead
235.2199703,8522.253448,0,-0.9117106188,-1,dead
280.5792358,6667.33404,0,-0.9032501571,-1,dead
238.1915369,10769.97405,0,-0.9007882771,-1,dead
298.2458092,8832.923366,0,-0.89731624,-1,dead
233.7265946,6863.0693,0,-0.8850361785,-1,dead
235.1012034,8257.065576,0,-0.8842069555,-1,dead
277.5683012,6391.938879,0,-0.8750050073,-1,dead
