temperature_set_C,pressure_set_kPa,ratio_set,volume_set_m3,recycle_fraction_set,Tin_C,Tout_C,pressure_actual_kPa,ratio_actual,volume_actual_m3,recycle_fraction_actual,C_efficiency_pct,H_efficiency_pct,co2_conversion_per_pass_pct,energy_efficiency_pct,methanol_kg_h,hydrogen_purge_kg_h,reactor_duty_kJ_h,compressor_duty_kJ_h,expander_duty_kJ_h,h2_lhv_kJ_h,methanol_lhv_kJ_h,converged,write_error,recycle_status,convergence_detail,case,execution_order,solve_time_s,case_time_s,timestamp
220,5500,3.0,65,,220.0,220.0,5500.0,3.0,65.0,0.99,87.83091127731768,88.72714506586172,13.5345163544464,80.33660645360496,18318.959680165066,321.29292968870215,33872882.82131979,21373299.99352887,26507595.252389014,462351162.0,362100222.09917015,True,,RCY-1:Converged(50/300),,methanol_instance2.hsc,4,5.864799799979664,6.043483999994351,2026-07-31 17:38:55
220,6000,3.0,65,,220.0,220.0,6000.0,3.0,65.0,0.99,87.57382240484009,88.46743283754252,13.485557717850579,80.05982053167696,18265.293473838,327.76588093953893,33878987.38484778,22380567.669853494,27032694.224995133,462351162.0,361042658.6087831,True,,RCY-1:Converged(51/300),,methanol_instance3.hsc,4,5.921369799994864,6.1575032000255305,2026-07-31 17:38:55
220,6500,3.0,65,,220.0,220.0,6500.0,3.0,65.0,0.99,87.336062233343,88.22724654184648,13.448041895192764,79.8151844474528,18215.64394105708,334.8568506247937,33888459.34779863,23365471.978859562,27609566.68356579,462351162.0,360066060.6186201,True,,RCY-1:Converged(53/300),,methanol_instance0.hsc,5,9.225960100011434,9.453754599991953,2026-07-31 17:39:04
220,7000,3.0,65,,220.0,220.0,7000.0,3.0,65.0,0.99,87.07949069846502,87.968056930082,13.374428740577079,79.55303986644192,18162.05042982944,341.32008184789777,33889050.19013698,24305519.066794556,28140318.99674801,462351162.0,359009864.50502217,True,,RCY-1:Converged(54/300),,methanol_instance1.hsc,5,8.489532999985386,8.742221299995435,2026-07-31 17:39:02
220,7500,3.0,65,,220.0,220.0,7500.0,3.0,65.0,0.99,86.84824517011243,87.73445175348093,13.33160186698261,79.32846020552682,18113.739251369807,348.4908917319795,33894791.42045814,25226204.24471671,28727214.75040495,462351162.0,358060402.20219094,True,,RCY-1:Converged(56/300),,methanol_instance2.hsc,5,5.543358900002204,5.734348699974362,2026-07-31 17:39:01
220,8000,3.0,65,,220.0,220.0,8000.0,3.0,65.0,0.99,86.60491238335703,87.48863597910555,13.26406594193202,79.09186896055586,18062.92088360036,355.07160900773215,33894513.41611482,26106157.741896536,29269366.421272825,462351162.0,357060656.8372313,True,,RCY-1:Converged(57/300),,methanol_instance3.hsc,5,7.504056300007505,7.709065700008068,2026-07-31 17:39:03
220,8500,3.0,65,,220.0,220.0,8500.0,3.0,65.0,0.99,86.36807505108594,87.24938193936231,13.197927763820852,78.86538776750092,18013.450863835646,361.5860422859901,33894428.84740652,26957058.032749902,29807007.652644474,462351162.0,356087817.45444036,True,,RCY-1:Converged(58/300),,methanol_instance0.hsc,6,6.587360900011845,6.810735500010196,2026-07-31 17:39:10
220,9000,3.0,65,,220.0,220.0,9000.0,3.0,65.0,0.99,86.13767032280137,87.01662614242179,13.132525873216863,78.6479630857515,17965.316505962917,367.99403892250314,33894741.32684553,27780148.0678614,30336772.585170433,462351162.0,355141519.22871137,True,,RCY-1:Converged(59/300),,methanol_instance1.hsc,6,6.878428600000916,7.101473399990937,2026-07-31 17:39:09
220,9500,3.0,65,,220.0,220.0,9500.0,3.0,65.0,0.99,85.9288354216432,86.80566027288444,13.090648561853211,78.45901426288265,17921.671670169355,374.8268636143373,33900067.1304218,28586651.38820181,30899513.346535854,462351162.0,354285455.68159765,True,,RCY-1:Converged(61/300),,methanol_instance2.hsc,6,7.582142899977043,7.794422399980249,2026-07-31 17:39:08
220,10000,3.0,65,,220.0,220.0,10000.0,3.0,65.0,0.99,85.71066949216547,86.58526816045286,13.028230268342659,78.25803065148814,17876.089448955678,381.0217254229601,33901371.137266606,29359464.902616587,31412949.778783597,462351162.0,353390103.33929056,True,,RCY-1:Converged(62/300),,methanol_instance3.hsc,6,7.068695099995239,7.29088889999548,2026-07-31 17:39:10
220,10500,3.0,65,,220.0,220.0,10500.0,3.0,65.0,0.99,85.49852527913154,86.37095921055123,12.96749028814888,78.0645510598601,17831.762610988113,387.1013406212721,33903324.17821172,30109435.818988804,31917400.204861116,462351162.0,352519754.6292357,True,,RCY-1:Converged(63/300),,methanol_instance0.hsc,7,5.710481400019489,5.986132799996994,2026-07-31 17:39:16
220,11000,3.0,65,,220.0,220.0,11000.0,3.0,65.0,0.99,85.29264313254707,86.16297622573632,12.908470788971826,77.87841604688596,17788.73397328564,393.0663530813768,33905938.861645296,30837999.52768681,32412844.971262395,462351162.0,351675062.141418,True,,RCY-1:Converged(64/300),,methanol_instance1.hsc,7,5.8081669000093825,6.010665700014215,2026-07-31 17:39:15
